,0,Диапазон значений
0,Индекс строки,"[1, 86]"
1,Координата X центра фиксации взгляда,"[3, 1921]"
2,Координата Y центра фиксации взгляда,"[33, 1081]"
3,Время начала фиксации взгляда,"[-126.33, 10065.86]"
4,Продолжительность фиксации взгляда,"[0.13, 3976.62]"
5,Время окончания фиксации взгляда,"[-106.87, 10085.86]"
6,"Метка или лейбл, присвоенный фиксации взгляда","[nan, nan]"
7,Идентификатор участника исследования,"[1, 110]"
8,Номер строки в исходных данных,"[1, 110]"
9,Валентность (эмоциональная окраска) стимула,"[0, 2]"
10,Правдивость или точность информации,"[1, 2]"
11,Производительность или результат выполнения задания,"[1, 8]"
12,Основной ответ участника исследования,"[0, 5]"
13,Идентификатор или номер участника исследования,"[11101, 22136]"
14,Дата проведения исследования,"['01/24/2025', '01/27/2025', '01/30/2025', '02.03.2025', '02.04.2025', '02.05.2025', '02.07.2025', '02.10.2025', '02/13/2025', '02/14/2025', '02/15/2025', '02/25/2025', '03.07.2025', '03/13/2025', '03/14/2025', '03/17/2025', '03/21/2025', '03/25/2025', '03/27/2025', '03/28/2025', '03/31/2025', '04.01.2025', '04.02.2025', '04.03.2025', '04.04.2025', '04.05.2025', '04.08.2025', '04.09.2025', '04.11.2025', '04/14/2025', '04/23/2025', '04/29/2025', '10.08.2024', '10.10.2024', '10.11.2024', '10/14/2024', '10/18/2024', '10/19/2024', '10/21/2024', '10/22/2024', '10/24/2024', '10/25/2024', '10/29/2024', '10/31/2024', '11.07.2024', '11.08.2024', '11/14/2024', '11/18/2024', '11/26/2024']"
15,Статус вакцинации участника исследования,"['Да (вынужденно)', 'Да (по собственному желанию)', 'Нет', 'У меня медотвод']"
16,Возраст участника исследования,"[19.0, 43.0]"
17,Год рождения участника исследования,"[1982.0, 2006.0]"
18,Идентификатор участника исследования (дубликат ID_x),"[11101.0, 22126.0]"
19,Пол участника исследования,"[0.0, 1.0]"
20,Регион проживания участника исследования,"[1.0, 2.0]"
21,Уровень образования участника исследования,"[0.0, 5.0]"
22,Образование бакалавра,"[0.0, 6.0]"
23,Образование магистра,"[0.0, 6.0]"
24,Образование PhD,"[0.0, 4.0]"
25,Работа в СМИ,"[0.0, 1.0]"
26,Работа в медицине,"[0.0, 1.0]"
27,Знакомство с медициной,"[1.0, 8.0]"
28,Знакомство с вакцинацией,"[1.0, 8.0]"
29,Интерес к медицине,"[2.0, 8.0]"
30,Интерес к вакцинации,"[1.0, 8.0]"
31,Уровень здоровья,"[2.0, 5.0]"
32,Опыт вакцинации,"[0.0, 1.0]"
33,Склонность к конспирологическим теориям в политике,"[0.0, 1.0]"
34,Склонность к конспирологическим теориям в религии,"[0.0, 1.0]"
35,Результат теста IAT (Implicit Association Test) для значений меньше 300,"[0.0, 0.0]"
36,Результат теста IAT для значений меньше 400,"[0.0, 15.0]"
37,Результат теста IAT для значений больше 10000,"[0.0, 0.0]"
38,Процент ошибок в тесте IAT,"['0,34%', '0,68%', '1,01%', '1,35%', '1,69%', '11,49%', '2,03%', '2,36%', '2,70%', '3,04%', '3,38%', '3,72%', '4,05%', '4,73%', '5,07%', '5,41%', '6,42%', '6,76%', '7,09%', '7,43%']"
39,Стабильность результатов теста IAT,"['45,67%', '53,73%', '56,78%', '60,82%', '64,57%', '67,78%', '68,30%', '68,78%', '69,15%', '70,64%', '70,82%', '71,74%', '71,84%', '71,97%', '72,99%', '73,52%', '74,12%', '74,24%', '77,12%', '77,46%', '77,58%', '77,88%', '78,66%', '79,52%', '80,44%', '81,05%', '81,13%', '81,67%', '82,80%', '83,93%', '84,07%', '84,91%', '85,15%', '86,02%', '86,13%', '87,55%', '87,65%', '88,27%', '88,37%', '88,92%', '89,12%', '89,34%', '89,99%', '91,14%', '92,45%', '92,63%', '93,23%', '94,00%', '94,27%', '94,57%', '94,83%', '94,91%', '96,36%', '96,61%', '97,18%', '97,71%', '97,90%', '98,32%', '99,57%']"
40,Результаты теста IAT,"['-0,000713529', '-0,005727194', '-0,02668739', '-0,032986977', '-0,044156093', '-0,064852957', '-0,081538515', '-0,085604179', '-0,0876984', '-0,097789781', '-0,108482123', '-0,122807688', '-0,132367053', '-0,133129758', '-0,150850312', '-0,151717121', '-0,162566148', '-0,179550511', '-0,181856061', '-0,198081867', '-0,251847645', '-0,272887659', '-0,296542067', '-0,324830729', '-0,343486215', '-0,377540386', '-0,801623288', '-0,958090538', '0,009557948', '0,044563462', '0,046321692', '0,052897076', '0,053965016', '0,08530526', '0,088333699', '0,097971556', '0,101385178', '0,116545612', '0,117380474', '0,12378958', '0,137300161', '0,140820718', '0,151924034', '0,155303648', '0,164439932', '0,165495845', '0,166121046', '0,267852973', '0,274063721', '0,294611044', '0,309316904', '0,310401404', '0,323645535', '0,324070794', '0,325836853', '0,428420904', '0,436666677', '0,523233065', '0,672315389']"
41,Результат теста IAT в виде слова,"['Negative', 'Positive']"
42,Дополнительные результаты теста IAT,"['Negative', 'Neutral', 'Positive']"
43,Сила ассоциации в тесте IAT,"[-2.0, 2.0]"
44,Общий опыт,"['1,083333333', '1,25', '1,333333333', '1,458333333', '1,5', '1,583333333', '1,666666667', '1,833333333', '1,958333333', '2', '2,083333333', '2,166666667', '2,208333333', '2,25', '2,333333333', '2,416666667', '2,5', '2,583333333', '2,666666667', '2,708333333', '2,75', '2,791666667', '2,833333333', '2,916666667', '3,125', '3,166666667', '3,25', '3,333333333', '3,416666667', '3,458333333', '3,583333333', '4', '4,25', '4,333333333', '4,416666667', '5,041666667', '5,416666667']"
45,Опыт конспирологических теорий,"['1', '1,142857143', '1,285714286', '1,428571429', '1,571428571', '1,714285714', '1,857142857', '2', '2,142857143', '2,285714286', '2,428571429', '2,714285714', '2,857142857', '3', '3,142857143', '3,285714286', '3,428571429', '3,714285714', '4', '4,142857143', '4,714285714', '5', '6,142857143', '6,428571429', '6,571428571']"
46,"Опыт, связанный с COVID-19","['1,264705882', '1,382352941', '1,411764706', '1,441176471', '1,470588235', '1,588235294', '1,617647059', '1,735294118', '1,764705882', '1,794117647', '1,911764706', '1,941176471', '2', '2,029411765', '2,088235294', '2,117647059', '2,147058824', '2,205882353', '2,235294118', '2,264705882', '2,294117647', '2,323529412', '2,411764706', '2,470588235', '2,5', '2,588235294', '2,617647059', '2,647058824', '2,794117647', '2,823529412', '2,941176471', '2,970588235', '3,058823529', '3,088235294', '3,147058824', '3,176470588', '3,352941176', '3,470588235', '3,5', '3,882352941', '4,029411765', '4,176470588', '4,352941176', '4,411764706', '4,470588235', '4,529411765', '4,764705882', '5,264705882', '5,352941176', '6,029411765']"
47,Результат теста IAT для контрольной группы,"['neutral', 'unknown']"
48,Результат теста IAT для контрольной группы,"['neutral', 'unknown']"
49,Количество фиксаций взгляда,"[1, 86]"
50,Средняя продолжительность фиксации взгляда,"[13.245714285714286, 379.55909090909097]"
51,Общая продолжительность фиксаций взгляда,"[31.93, 7041.03]"
52,Продолжительность первой фиксации взгляда,"[0.13, 1887.32]"
